state,race,gender,year,group_id,Y,n,Y_bar,latent_group_pref,lon,lat
Alabama,Black,Female,2000,Alabama_2000_0_1,0,16,0,-1.98765783293328,-86.7509,32.5901
Alabama,Black,Female,2001,Alabama_2001_0_1,0,23,0,-2.2164534051914524,-86.7509,32.5901
Alabama,Black,Female,2002,Alabama_2002_0_1,0,19,0,-2.4182949237640186,-86.7509,32.5901
Alabama,Black,Female,2003,Alabama_2003_0_1,0,20,0,-2.512687007478787,-86.7509,32.5901
Alabama,Black,Female,2004,Alabama_2004_0_1,0,25,0,-2.4536680310450634,-86.7509,32.5901
Alabama,Black,Female,2005,Alabama_2005_0_1,0,20,0,-2.2473473044837506,-86.7509,32.5901
Alabama,Black,Female,2006,Alabama_2006_0_1,2,22,0.0909090909090909,-1.9433862614035882,-86.7509,32.5901
Alabama,Black,Female,2007,Alabama_2007_0_1,1,23,0.04347826086956523,-1.606756298830962,-86.7509,32.5901
Alabama,Black,Female,2008,Alabama_2008_0_1,0,14,0,-1.287025738199353,-86.7509,32.5901
Alabama,Black,Female,2009,Alabama_2009_0_1,0,14,0,-1.0025887607994668,-86.7509,32.5901
Alabama,Black,Female,2010,Alabama_2010_0_1,0,7,0,-0.7464251049257753,-86.7509,32.5901
Alabama,Black,Female,2011,Alabama_2011_0_1,4,16,0.25,-0.5054348148293323,-86.7509,32.5901
Alabama,Black,Female,2012,Alabama_2012_0_1,2,12,0.16666666666666669,-0.277245233586147,-86.7509,32.5901
Alabama,Black,Female,2013,Alabama_2013_0_1,8,14,0.5714285714285714,-0.07223493389885895,-86.7509,32.5901
Alabama,Black,Female,2014,Alabama_2014_0_1,12,22,0.5454545454545454,0.09888816913909068,-86.7509,32.5901
Alabama,Black,Female,2015,Alabama_2015_0_1,17,22,0.7727272727272727,0.24011102485335495,-86.7509,32.5901
Alabama,Black,Female,2016,Alabama_2016_0_1,10,14,0.7142857142857143,0.3741681531117657,-86.7509,32.5901
